ID,Name,StudyHours,Attendance,Marks,Grade,Result,PerformanceScore
447,Student_447,9.9,95,72.7,C,Pass,73.11
454,Student_454,9.2,82,52.1,F,Pass,56.78
465,Student_465,9.7,79,67.1,D,Pass,64.92999999999999
468,Student_468,8.8,75,41.6,F,Pass,48.34
470,Student_470,9.7,88,67.8,D,Pass,68.05
472,Student_472,9.7,87,72.3,C,Pass,70.44999999999999
474,Student_474,9.0,75,46.3,F,Pass,51.18
476,Student_476,9.9,99,89.3,B,Pass,84.27
479,Student_479,9.7,91,97.9,A,Pass,87.01
486,Student_486,9.1,58,87.9,B,Pass,71.05
489,Student_489,9.6,88,72.0,C,Pass,70.55999999999999
490,Student_490,9.0,80,49.5,F,Pass,54.6
499,Student_499,9.8,69,52.1,F,Pass,52.93999999999999
500,Student_500,9.9,96,51.1,F,Pass,60.449999999999996
504,Student_504,8.3,65,66.4,D,Pass,60.17
507,Student_507,9.2,71,92.9,A,Pass,77.96000000000001
508,Student_508,8.4,75,88.2,B,Pass,76.26
509,Student_509,9.5,52,70.3,C,Pass,58.730000000000004
513,Student_513,9.4,60,80.1,B,Pass,67.0
514,Student_514,8.8,67,78.1,C,Pass,67.83999999999999
518,Student_518,8.3,62,49.7,F,Pass,49.25
519,Student_519,9.9,74,40.8,F,Pass,47.669999999999995
523,Student_523,9.7,95,69.99137749737118,D,Pass,71.4648264984227
524,Student_524,8.6,85,44.8,F,Pass,53.239999999999995
525,Student_525,8.5,94,83.9,B,Pass,79.39
530,Student_530,8.8,93,82.6,B,Pass,78.33999999999999
531,Student_531,8.3,67,58.9,F,Pass,56.269999999999996
532,Student_532,10.0,55,68.3,D,Pass,58.48
533,Student_533,10.0,67,89.3,B,Pass,74.67999999999999
536,Student_536,9.5,86,69.99137749737118,D,Pass,68.74482649842271
537,Student_537,8.6,81,89.7,B,Pass,78.98
541,Student_541,9.6,59,89.6,B,Pass,72.41999999999999
552,Student_552,8.7,80,68.3,D,Pass,65.85
555,Student_555,8.9,86,47.6,F,Pass,55.25
569,Student_569,9.1,51,52.8,F,Pass,47.88999999999999
572,Student_572,8.1,85,79.2,C,Pass,73.83000000000001
575,Student_575,8.8,91,86.0,B,Pass,79.78
576,Student_576,9.5,100,87.3,B,Pass,83.33
578,Student_578,9.3,61,55.6,F,Pass,52.589999999999996
582,Student_582,9.8,89,46.7,F,Pass,55.699999999999996
595,Student_595,9.1,63,91.5,A,Pass,74.71
612,Student_612,8.2,74,69.99137749737118,D,Pass,65.01482649842269
615,Student_615,8.9,84,75.9,C,Pass,71.63
616,Student_616,9.3,86,57.8,F,Pass,61.410000000000004
619,Student_619,8.3,89,69.99137749737118,D,Pass,69.5248264984227
632,Student_632,9.1,78,69.99137749737118,D,Pass,66.3048264984227
646,Student_646,9.0,92,59.0,F,Pass,63.9
649,Student_649,8.1,86,76.1,C,Pass,72.27
662,Student_662,9.9,63,97.0,A,Pass,78.08999999999999
672,Student_672,9.1,86,48.4,F,Pass,55.75
676,Student_676,9.8,100,68.9,D,Pass,72.32000000000001
679,Student_679,9.7,91,56.8,F,Pass,62.349999999999994
680,Student_680,8.8,69,52.4,F,Pass,53.02
681,Student_681,8.4,99,71.0,C,Pass,73.14
685,Student_685,9.4,74,42.2,F,Pass,48.459999999999994
706,Student_706,9.9,57,65.3,D,Pass,57.27
708,Student_708,8.3,81,94.5,A,Pass,81.83
716,Student_716,9.4,75,78.2,C,Pass,70.36
717,Student_717,8.5,92,43.1,F,Pass,54.309999999999995
718,Student_718,9.7,59,55.5,F,Pass,51.97
721,Student_721,9.4,67,81.2,B,Pass,69.75999999999999
726,Student_726,8.6,89,47.3,F,Pass,55.94
728,Student_728,8.2,61,85.1,B,Pass,70.17999999999999
732,Student_732,8.3,95,96.5,A,Pass,87.23
736,Student_736,8.9,68,75.6,C,Pass,66.64999999999999
738,Student_738,8.3,65,78.2,C,Pass,67.25
746,Student_746,9.1,99,72.0,C,Pass,73.80999999999999
749,Student_749,9.2,82,65.3,D,Pass,64.7
752,Student_752,9.5,97,74.6,C,Pass,74.81
756,Student_756,8.1,80,60.6,D,Pass,61.17
759,Student_759,9.0,53,90.7,A,Pass,71.22
760,Student_760,8.1,83,81.5,B,Pass,74.61
768,Student_768,8.9,67,89.3,B,Pass,74.57
770,Student_770,8.4,90,95.0,A,Pass,84.84
772,Student_772,8.6,68,59.1,F,Pass,56.72
775,Student_775,8.2,50,76.1,C,Pass,61.48
786,Student_786,9.2,68,78.7,C,Pass,68.54
790,Student_790,9.5,98,64.6,D,Pass,69.11
796,Student_796,8.8,75,99.3,A,Pass,82.96
797,Student_797,9.4,60,67.2,D,Pass,59.26
800,Student_800,9.3,95,69.1,D,Pass,70.89
807,Student_807,9.4,70,63.3,D,Pass,59.919999999999995
808,Student_808,9.3,75,49.6,F,Pass,53.19
811,Student_811,9.9,51,67.5,D,Pass,56.79
812,Student_812,8.6,55,57.4,F,Pass,51.8
814,Student_814,9.3,78,47.0,F,Pass,52.529999999999994
815,Student_815,8.8,75,97.4,A,Pass,81.82
821,Student_821,8.2,86,57.3,F,Pass,60.99999999999999
826,Student_826,9.3,92,72.5,C,Pass,72.03
837,Student_837,9.2,92,60.5,D,Pass,64.82
844,Student_844,9.6,100,66.6,D,Pass,70.91999999999999
848,Student_848,10.0,62,99.6,A,Pass,79.35999999999999
854,Student_854,9.1,97,63.7,D,Pass,68.22999999999999
869,Student_869,8.8,62,92.6,A,Pass,75.03999999999999
870,Student_870,9.5,53,96.6,A,Pass,74.80999999999999
885,Student_885,8.2,91,91.9,A,Pass,83.25999999999999
892,Student_892,8.7,94,52.0,F,Pass,60.269999999999996
893,Student_893,8.5,91,46.6,F,Pass,56.11000000000001
898,Student_898,9.1,71,43.7,F,Pass,48.43
906,Student_906,9.0,91,69.99137749737118,D,Pass,70.19482649842271
907,Student_907,8.4,57,83.4,B,Pass,67.98
918,Student_918,9.5,85,80.6,B,Pass,74.80999999999999
921,Student_921,8.8,74,40.9,F,Pass,47.62
923,Student_923,9.1,68,69.99137749737118,D,Pass,63.3048264984227
924,Student_924,8.2,85,84.4,B,Pass,76.96
932,Student_932,8.5,93,45.3,F,Pass,55.93
933,Student_933,9.9,83,69.3,D,Pass,67.46999999999998
938,Student_938,9.2,97,60.9,D,Pass,66.56
944,Student_944,8.5,81,71.4,C,Pass,67.99
948,Student_948,9.1,63,87.7,B,Pass,72.42999999999999
949,Student_949,8.9,62,82.4,B,Pass,68.93
954,Student_954,9.2,70,53.9,F,Pass,54.26
972,Student_972,9.4,94,69.99137749737118,D,Pass,71.1348264984227
990,Student_990,8.4,54,84.9,B,Pass,67.98
991,Student_991,8.2,93,59.1,F,Pass,64.17999999999999
997,Student_997,9.3,57,43.8,F,Pass,44.309999999999995
999,Student_999,9.6,52,40.2,F,Pass,40.68
